product_id,product_name,category,subcategory,brand,unit_price,cost_price
PROD_073,Kalenji Run Support,sports & fitness,footwear,Decathlon,11387,4589.45
PROD_074,Newfeel Walking Shoe,sports & fitness,footwear,Decathlon,10883,4457.38
PROD_075,Power Cushion 65Z,sports & fitness,footwear,Yonex,4799,1999.53
PROD_076,SHB 65X2,sports & fitness,footwear,Yonex,1616,907.29
PROD_077,Resistance Band Set,sports & fitness,fitness accessories,MuscleBlaze,2009,1006.16
PROD_078,Gym Gloves,sports & fitness,fitness accessories,MuscleBlaze,2931,1957.71
PROD_079,Shaker Bottle,sports & fitness,fitness accessories,MuscleBlaze,1717,974.86
PROD_080,Yoga Mat,sports & fitness,fitness accessories,Decathlon,384,241.14
PROD_081,Jump Rope,sports & fitness,fitness accessories,Decathlon,1269,769.19
PROD_082,Foam Roller,sports & fitness,fitness accessories,Decathlon,2006,1115.53
PROD_083,Badminton Grip,sports & fitness,fitness accessories,Yonex,1565,975.65
PROD_084,Shuttlecock Pack,sports & fitness,fitness accessories,Yonex,2109,1188.24
