return_id,order_id,customer_id,return_date,return_reason,return_amount,return_status
RET_0079,ORD_00861,CUST_00203,2025-11-10,Damaged,872796,refunded
RET_0080,ORD_00875,CUST_00207,2025-09-09,Bad Quality,1412088,refund_in_process
RET_0081,ORD_00883,CUST_00207,2025-12-29,No Longer Required,482735,refunded
RET_0082,ORD_00891,CUST_00208,2024-02-18,No Longer Required,87685,refunded
RET_0083,ORD_00895,CUST_00209,2025-07-13,No Longer Required,418452,refunded
RET_0084,ORD_00898,CUST_00209,2025-09-02,Size Issues,944129,refunded
RET_0085,ORD_00902,CUST_00211,2024-03-24,Color Mismatch,309157,refunded
RET_0086,ORD_00924,CUST_00216,2025-10-15,Color Mismatch,7705,refund_in_process
RET_0087,ORD_00934,CUST_00222,2025-07-22,Damaged,1226544,refunded
RET_0088,ORD_00948,CUST_00226,2025-09-04,Color Mismatch,38488,refund_in_process
RET_0089,ORD_00954,CUST_00227,2025-02-14,Wrong Item Delivered,439916,refunded
RET_0090,ORD_00973,CUST_00231,2025-07-16,Size Issues,1023942,refunded
RET_0091,ORD_00982,CUST_00233,2025-06-07,Color Mismatch,202396,refund_in_process
RET_0092,ORD_00989,CUST_00234,2025-10-18,Bad Quality,499101,refunded
RET_0093,ORD_00994,CUST_00236,2023-08-21,Damaged,470664,refund_in_process
RET_0094,ORD_00997,CUST_00236,2024-02-01,Wrong Item Delivered,1236,refund_in_process
RET_0095,ORD_01010,CUST_00237,2025-11-06,Bad Quality,51300,refund_in_process
RET_0096,ORD_01011,CUST_00237,2025-05-17,Bad Quality,235386,refunded
RET_0097,ORD_01037,CUST_00246,2025-12-14,Size Issues,61945,refunded
RET_0098,ORD_01049,CUST_00249,2024-09-15,Size Issues,964030,refund_in_process
RET_0099,ORD_01052,CUST_00249,2025-05-16,Bad Quality,19060,refund_in_process
RET_0100,ORD_01056,CUST_00251,2024-10-29,Wrong Item Delivered,257472,refund_in_process
RET_0101,ORD_01069,CUST_00254,2025-04-26,Color Mismatch,462728,refunded
RET_0102,ORD_01084,CUST_00258,2025-08-04,Wrong Item Delivered,36876,refunded
RET_0103,ORD_01110,CUST_00263,2025-11-03,No Longer Required,26469,refund_in_process
RET_0104,ORD_01112,CUST_00264,2025-09-04,Wrong Item Delivered,795106,refunded
RET_0105,ORD_01114,CUST_00264,2025-12-11,Wrong Item Delivered,210185,refund_in_process
RET_0106,ORD_01116,CUST_00264,2025-07-13,No Longer Required,70942,refund_in_process
RET_0107,ORD_01125,CUST_00268,2025-11-03,Bad Quality,1183833,refunded
RET_0108,ORD_01133,CUST_00270,2025-10-08,Wrong Item Delivered,254023,refunded
RET_0109,ORD_01150,CUST_00273,2025-06-01,Wrong Item Delivered,590717,refund_in_process
RET_0110,ORD_01154,CUST_00273,2024-08-23,Wrong Item Delivered,4696,refunded
RET_0111,ORD_01176,CUST_00276,2024-07-12,Size Issues,59238,refund_in_process
RET_0112,ORD_01193,CUST_00279,2025-11-14,No Longer Required,12783,refund_in_process
RET_0113,ORD_01214,CUST_00284,2025-12-11,Color Mismatch,119578,refunded
RET_0114,ORD_01219,CUST_00286,2025-07-26,Wrong Item Delivered,46767,refunded
RET_0115,ORD_01239,CUST_00293,2024-08-11,No Longer Required,10960,refund_in_process
RET_0116,ORD_01246,CUST_00295,2023-09-13,Bad Quality,45022,refunded
RET_0117,ORD_01257,CUST_00297,2024-02-08,No Longer Required,565478,refunded
RET_0118,ORD_01263,CUST_00298,2024-08-25,No Longer Required,62533,refund_in_process
RET_0119,ORD_01285,CUST_00305,2025-10-27,Bad Quality,560726,refund_in_process
RET_0120,ORD_01289,CUST_00305,2025-12-14,Color Mismatch,587135,refund_in_process
RET_0121,ORD_01294,CUST_00306,2025-11-29,Size Issues,177896,refund_in_process
RET_0122,ORD_01307,CUST_00310,2025-07-27,Size Issues,415447,refund_in_process
RET_0123,ORD_01308,CUST_00310,2025-10-01,Size Issues,16299,refund_in_process
RET_0124,ORD_01313,CUST_00310,2025-12-19,Wrong Item Delivered,199142,refund_in_process
RET_0125,ORD_01316,CUST_00311,2024-05-28,Color Mismatch,120606,refunded
RET_0126,ORD_01336,CUST_00315,2024-08-29,Color Mismatch,477772,refunded
RET_0127,ORD_01343,CUST_00316,2025-06-29,Wrong Item Delivered,1082818,refunded
RET_0128,ORD_01350,CUST_00319,2025-03-16,Bad Quality,172156,refund_in_process
RET_0129,ORD_01354,CUST_00320,2024-06-24,Damaged,38160,refund_in_process
RET_0130,ORD_01359,CUST_00321,2025-02-13,Size Issues,101024,refund_in_process
RET_0131,ORD_01361,CUST_00322,2024-05-15,No Longer Required,49065,refunded
RET_0132,ORD_01370,CUST_00323,2024-12-01,Wrong Item Delivered,539619,refunded
RET_0133,ORD_01392,CUST_00327,2025-08-22,Color Mismatch,86822,refunded
RET_0134,ORD_01418,CUST_00332,2025-11-18,Wrong Item Delivered,334206,refund_in_process
RET_0135,ORD_01433,CUST_00334,2025-11-14,No Longer Required,65117,refunded
RET_0136,ORD_01437,CUST_00335,2024-12-13,Size Issues,59512,refund_in_process
RET_0137,ORD_01446,CUST_00336,2026-01-04,Wrong Item Delivered,32064,refunded
RET_0138,ORD_01450,CUST_00338,2025-02-28,Size Issues,4476,refunded
RET_0139,ORD_01474,CUST_00342,2026-01-02,No Longer Required,217912,refund_in_process
RET_0140,ORD_01477,CUST_00343,2025-01-11,Size Issues,114197,refund_in_process
RET_0141,ORD_01488,CUST_00346,2025-09-29,Size Issues,360256,refund_in_process
RET_0142,ORD_01493,CUST_00347,2024-10-28,Wrong Item Delivered,58051,refund_in_process
RET_0143,ORD_01514,CUST_00354,2024-09-22,No Longer Required,1363906,refund_in_process
RET_0144,ORD_01525,CUST_00356,2026-01-01,Size Issues,2607,refund_in_process
RET_0145,ORD_01541,CUST_00362,2025-06-22,Size Issues,354267,refund_in_process
RET_0146,ORD_01555,CUST_00365,2025-11-04,Damaged,429547,refunded
RET_0147,ORD_01562,CUST_00366,2025-01-06,Bad Quality,16919,refunded
RET_0148,ORD_01566,CUST_00367,2024-05-15,Bad Quality,71297,refunded
RET_0149,ORD_01576,CUST_00370,2025-12-13,Bad Quality,318325,refund_in_process
RET_0150,ORD_01577,CUST_00370,2025-12-26,No Longer Required,21063,refund_in_process
RET_0151,ORD_01590,CUST_00373,2025-02-16,Bad Quality,6402,refunded
RET_0152,ORD_01591,CUST_00373,2024-08-02,Size Issues,44397,refunded
RET_0153,ORD_01597,CUST_00374,2023-12-13,Color Mismatch,1162360,refunded
RET_0154,ORD_01599,CUST_00375,2025-12-16,Wrong Item Delivered,176313,refunded
RET_0155,ORD_01610,CUST_00377,2024-10-05,Wrong Item Delivered,37116,refund_in_process
RET_0156,ORD_01618,CUST_00380,2024-02-27,Color Mismatch,239927,refunded
RET_0157,ORD_01623,CUST_00381,2025-03-25,Bad Quality,1026078,refunded
RET_0158,ORD_01629,CUST_00382,2025-02-07,Bad Quality,30190,refunded
RET_0159,ORD_01634,CUST_00382,2024-10-21,Wrong Item Delivered,209220,refund_in_process
RET_0160,ORD_01636,CUST_00383,2025-10-17,Color Mismatch,22492,refunded
RET_0161,ORD_01646,CUST_00384,2025-11-07,Color Mismatch,27632,refunded
RET_0162,ORD_01648,CUST_00385,2026-01-07,Damaged,242152,refund_in_process
RET_0163,ORD_01654,CUST_00386,2025-02-05,Size Issues,363021,refunded
RET_0164,ORD_01665,CUST_00387,2024-05-18,Bad Quality,449312,refund_in_process
RET_0165,ORD_01670,CUST_00389,2024-03-17,Color Mismatch,4261,refund_in_process
RET_0166,ORD_01687,CUST_00392,2025-11-26,Bad Quality,874987,refunded
RET_0167,ORD_01692,CUST_00393,2025-12-07,Bad Quality,481356,refunded
RET_0168,ORD_01706,CUST_00397,2025-05-12,Damaged,678136,refunded
RET_0169,ORD_01713,CUST_00399,2025-07-26,Size Issues,4480,refund_in_process
RET_0170,ORD_01714,CUST_00399,2023-11-22,Bad Quality,653322,refunded
RET_0171,ORD_01720,CUST_00400,2024-03-18,Bad Quality,1717257,refunded
RET_0172,ORD_01753,CUST_00406,2025-10-28,Bad Quality,96038,refund_in_process
RET_0173,ORD_01758,CUST_00408,2025-08-09,Color Mismatch,404415,refunded
RET_0174,ORD_01762,CUST_00408,2023-12-27,Bad Quality,247215,refunded
RET_0175,ORD_01763,CUST_00409,2024-08-04,Wrong Item Delivered,11319,refunded
RET_0176,ORD_01771,CUST_00411,2026-01-07,Color Mismatch,985780,refund_in_process
RET_0177,ORD_01778,CUST_00412,2025-11-26,Size Issues,482434,refund_in_process
RET_0178,ORD_01789,CUST_00416,2025-12-22,Bad Quality,70560,refund_in_process
RET_0179,ORD_01818,CUST_00424,2025-12-16,Wrong Item Delivered,119205,refunded
RET_0180,ORD_01845,CUST_00429,2025-10-04,Color Mismatch,15712,refunded
RET_0181,ORD_01859,CUST_00432,2025-09-30,Wrong Item Delivered,574617,refund_in_process
RET_0182,ORD_01866,CUST_00433,2024-10-25,No Longer Required,29600,refunded
RET_0183,ORD_01873,CUST_00436,2025-08-10,Bad Quality,657803,refund_in_process
RET_0184,ORD_01877,CUST_00436,2025-10-01,Bad Quality,482657,refund_in_process
RET_0185,ORD_01885,CUST_00438,2023-10-18,Wrong Item Delivered,672205,refunded
RET_0186,ORD_01894,CUST_00440,2025-09-18,Color Mismatch,373895,refund_in_process
RET_0187,ORD_01896,CUST_00440,2024-06-26,No Longer Required,673968,refunded
RET_0188,ORD_01955,CUST_00450,2024-03-20,Size Issues,47956,refund_in_process
RET_0189,ORD_01958,CUST_00451,2025-08-22,Wrong Item Delivered,28577,refund_in_process
RET_0190,ORD_01961,CUST_00452,2025-07-08,Damaged,175966,refunded
RET_0191,ORD_01962,CUST_00452,2024-05-18,Color Mismatch,43918,refunded
RET_0192,ORD_01969,CUST_00453,2025-07-25,Color Mismatch,769199,refunded
RET_0193,ORD_01971,CUST_00453,2025-10-25,Size Issues,14569,refund_in_process
RET_0194,ORD_01985,CUST_00457,2023-03-17,Bad Quality,363325,refunded
RET_0195,ORD_02006,CUST_00461,2023-05-22,Damaged,30814,refunded
RET_0196,ORD_02008,CUST_00461,2025-03-13,Color Mismatch,340310,refunded
RET_0197,ORD_02035,CUST_00470,2024-12-18,Damaged,1801186,refund_in_process
RET_0198,ORD_02044,CUST_00472,2025-07-22,No Longer Required,18364,refunded
RET_0199,ORD_02050,CUST_00472,2025-03-12,Color Mismatch,28084,refund_in_process
RET_0200,ORD_02051,CUST_00473,2025-09-17,Bad Quality,10284,refunded
RET_0201,ORD_02080,CUST_00480,2025-08-06,Color Mismatch,671222,refunded
RET_0202,ORD_02110,CUST_00487,2025-01-26,No Longer Required,70277,refunded
RET_0203,ORD_02113,CUST_00487,2025-10-06,Bad Quality,376619,refund_in_process
RET_0204,ORD_02123,CUST_00488,2025-07-26,Color Mismatch,292263,refunded
RET_0205,ORD_02131,CUST_00490,2025-01-15,Color Mismatch,405589,refund_in_process
RET_0206,ORD_02156,CUST_00495,2025-11-06,No Longer Required,324120,refunded
RET_0207,ORD_02168,CUST_00499,2025-06-16,No Longer Required,491201,refund_in_process
RET_0208,ORD_02178,CUST_00500,2025-10-03,Size Issues,361474,refunded
RET_0209,ORD_02185,CUST_00502,2026-01-13,Color Mismatch,291128,refund_in_process
RET_0210,ORD_02195,CUST_00505,2025-09-29,Size Issues,249696,refunded
RET_0211,ORD_02209,CUST_00508,2024-05-27,Size Issues,580425,refund_in_process
RET_0212,ORD_02217,CUST_00510,2025-11-28,No Longer Required,404166,refund_in_process
RET_0213,ORD_02234,CUST_00518,2025-09-30,Wrong Item Delivered,90518,refunded
RET_0214,ORD_02236,CUST_00518,2025-05-17,Color Mismatch,569442,refund_in_process
RET_0215,ORD_02246,CUST_00520,2025-07-16,Color Mismatch,259840,refund_in_process
RET_0216,ORD_02247,CUST_00520,2025-10-18,Color Mismatch,1677173,refunded
RET_0217,ORD_02253,CUST_00521,2023-07-09,Color Mismatch,97136,refund_in_process
RET_0218,ORD_02265,CUST_00527,2025-10-20,No Longer Required,17027,refund_in_process
RET_0219,ORD_02274,CUST_00530,2025-11-09,No Longer Required,265224,refund_in_process
RET_0220,ORD_02287,CUST_00533,2024-11-17,No Longer Required,49122,refund_in_process
RET_0221,ORD_02295,CUST_00535,2024-02-24,Color Mismatch,618860,refunded
RET_0222,ORD_02318,CUST_00541,2024-09-09,Wrong Item Delivered,407870,refunded
RET_0223,ORD_02321,CUST_00541,2023-12-30,Bad Quality,421840,refund_in_process
RET_0224,ORD_02342,CUST_00545,2025-11-27,Wrong Item Delivered,962810,refunded
RET_0225,ORD_02368,CUST_00551,2025-05-20,Bad Quality,145278,refund_in_process
RET_0226,ORD_02372,CUST_00551,2024-12-23,Bad Quality,58817,refunded
RET_0227,ORD_02385,CUST_00555,2025-09-30,Bad Quality,652394,refund_in_process
RET_0228,ORD_02393,CUST_00557,2025-01-24,No Longer Required,20569,refund_in_process
RET_0229,ORD_02408,CUST_00561,2025-05-10,Damaged,1022427,refund_in_process
RET_0230,ORD_02427,CUST_00563,2025-04-10,Wrong Item Delivered,44563,refund_in_process
RET_0231,ORD_02436,CUST_00566,2025-08-22,Wrong Item Delivered,1372752,refund_in_process
RET_0232,ORD_02444,CUST_00568,2025-11-19,Size Issues,19273,refunded
RET_0233,ORD_02484,CUST_00576,2024-11-16,Bad Quality,1156440,refunded
RET_0234,ORD_02500,CUST_00582,2024-03-08,Bad Quality,433479,refund_in_process
RET_0235,ORD_02534,CUST_00590,2025-12-17,Wrong Item Delivered,12136,refunded
RET_0236,ORD_02545,CUST_00592,2025-01-25,Color Mismatch,18595,refund_in_process
RET_0237,ORD_02550,CUST_00593,2025-04-29,Bad Quality,7438,refund_in_process
RET_0238,ORD_02551,CUST_00593,2025-07-28,Color Mismatch,592989,refunded
RET_0239,ORD_02553,CUST_00594,2024-02-18,Color Mismatch,548522,refund_in_process
RET_0240,ORD_02554,CUST_00594,2023-11-27,Wrong Item Delivered,6528,refund_in_process
RET_0241,ORD_02564,CUST_00595,2025-12-29,Color Mismatch,1088690,refunded
RET_0242,ORD_02565,CUST_00595,2025-10-14,Size Issues,700858,refunded
RET_0243,ORD_02574,CUST_00596,2023-06-10,Bad Quality,18364,refund_in_process
RET_0244,ORD_02599,CUST_00601,2024-06-10,Damaged,27258,refund_in_process
RET_0245,ORD_02615,CUST_00606,2025-07-09,Wrong Item Delivered,680485,refund_in_process
RET_0246,ORD_02620,CUST_00606,2025-11-01,Color Mismatch,25793,refund_in_process
RET_0247,ORD_02625,CUST_00607,2024-04-24,No Longer Required,931177,refund_in_process
RET_0248,ORD_02628,CUST_00608,2025-12-22,No Longer Required,12120,refunded
RET_0249,ORD_02643,CUST_00612,2025-02-27,Wrong Item Delivered,16153,refunded
RET_0250,ORD_02650,CUST_00613,2025-06-22,Damaged,8746,refunded
RET_0251,ORD_02653,CUST_00614,2025-10-07,Damaged,41047,refund_in_process
RET_0252,ORD_02656,CUST_00615,2025-11-13,Damaged,193170,refund_in_process
RET_0253,ORD_02659,CUST_00615,2024-12-04,Damaged,455471,refunded
RET_0254,ORD_02664,CUST_00616,2025-12-29,Wrong Item Delivered,1106730,refunded
RET_0255,ORD_02670,CUST_00617,2025-11-08,Color Mismatch,374368,refund_in_process
RET_0256,ORD_02671,CUST_00617,2025-11-13,Size Issues,58607,refund_in_process
RET_0257,ORD_02677,CUST_00618,2025-12-21,No Longer Required,11840,refunded
RET_0258,ORD_02686,CUST_00620,2025-11-21,Color Mismatch,105596,refunded
RET_0259,ORD_02688,CUST_00620,2026-01-05,Color Mismatch,48619,refunded
RET_0260,ORD_02695,CUST_00623,2025-07-05,Damaged,1145435,refund_in_process
RET_0261,ORD_02699,CUST_00624,2025-12-13,No Longer Required,49635,refunded
RET_0262,ORD_02701,CUST_00624,2025-07-27,Wrong Item Delivered,1046236,refund_in_process
RET_0263,ORD_02710,CUST_00625,2025-08-18,Bad Quality,17492,refund_in_process
RET_0264,ORD_02725,CUST_00629,2025-11-30,Size Issues,60503,refunded
RET_0265,ORD_02733,CUST_00630,2025-04-23,Bad Quality,33945,refund_in_process
RET_0266,ORD_02755,CUST_00637,2025-06-24,No Longer Required,1254749,refunded
RET_0267,ORD_02756,CUST_00637,2025-02-07,No Longer Required,2670,refunded
RET_0268,ORD_02773,CUST_00641,2024-10-26,Bad Quality,349817,refund_in_process
RET_0269,ORD_02782,CUST_00643,2024-11-21,Bad Quality,47576,refunded
RET_0270,ORD_02836,CUST_00658,2025-04-18,Color Mismatch,209348,refunded
RET_0271,ORD_02855,CUST_00662,2025-12-02,Bad Quality,505485,refund_in_process
RET_0272,ORD_02868,CUST_00664,2024-10-05,Wrong Item Delivered,300169,refunded
RET_0273,ORD_02881,CUST_00670,2025-12-28,Damaged,626930,refunded
RET_0274,ORD_02889,CUST_00673,2024-09-09,Size Issues,101051,refunded
RET_0275,ORD_02895,CUST_00674,2025-09-24,Bad Quality,8010,refund_in_process
RET_0276,ORD_02897,CUST_00674,2025-01-13,Size Issues,849010,refund_in_process
RET_0277,ORD_02900,CUST_00674,2025-05-02,Damaged,918598,refunded
RET_0278,ORD_02917,CUST_00678,2025-08-04,Wrong Item Delivered,693063,refund_in_process
RET_0279,ORD_02926,CUST_00681,2025-11-02,No Longer Required,470815,refunded
RET_0280,ORD_02929,CUST_00681,2025-12-06,Color Mismatch,242189,refund_in_process
RET_0281,ORD_02968,CUST_00692,2025-06-06,Size Issues,548474,refund_in_process
RET_0282,ORD_02979,CUST_00696,2025-10-15,Size Issues,611637,refunded
RET_0283,ORD_02984,CUST_00697,2025-08-23,Wrong Item Delivered,1131116,refunded
RET_0284,ORD_02993,CUST_00698,2025-04-07,Damaged,15330,refund_in_process
RET_0285,ORD_03004,CUST_00701,2025-12-30,Color Mismatch,215904,refund_in_process
RET_0286,ORD_03008,CUST_00702,2025-10-01,Bad Quality,390654,refunded
RET_0287,ORD_03020,CUST_00704,2024-11-12,Bad Quality,635357,refunded
RET_0288,ORD_03023,CUST_00705,2025-10-12,No Longer Required,398712,refunded
RET_0289,ORD_03041,CUST_00709,2025-04-17,Damaged,534892,refunded
RET_0290,ORD_03047,CUST_00710,2024-05-01,No Longer Required,14108,refund_in_process
RET_0291,ORD_03048,CUST_00710,2024-11-10,Damaged,7272,refund_in_process
RET_0292,ORD_03055,CUST_00713,2024-12-18,Damaged,151797,refund_in_process
RET_0293,ORD_03058,CUST_00713,2024-10-24,Bad Quality,32695,refund_in_process
RET_0294,ORD_03077,CUST_00717,2023-09-06,Wrong Item Delivered,706,refunded
RET_0295,ORD_03089,CUST_00719,2024-07-06,Wrong Item Delivered,5433,refund_in_process
RET_0296,ORD_03091,CUST_00720,2025-10-26,No Longer Required,409915,refunded
RET_0297,ORD_03092,CUST_00720,2025-11-18,Wrong Item Delivered,297676,refunded
RET_0298,ORD_03103,CUST_00723,2025-10-10,No Longer Required,133211,refunded
RET_0299,ORD_03104,CUST_00723,2025-11-14,Color Mismatch,894833,refund_in_process
RET_0300,ORD_03112,CUST_00726,2023-08-23,No Longer Required,210055,refund_in_process
RET_0301,ORD_03113,CUST_00726,2024-05-31,Color Mismatch,32511,refund_in_process
RET_0302,ORD_03118,CUST_00727,2024-07-16,No Longer Required,688504,refund_in_process
RET_0303,ORD_03120,CUST_00728,2025-04-10,Bad Quality,789805,refund_in_process
RET_0304,ORD_03134,CUST_00729,2025-06-19,Size Issues,230213,refund_in_process
RET_0305,ORD_03154,CUST_00736,2025-11-28,Damaged,4836,refund_in_process
RET_0306,ORD_03166,CUST_00737,2025-03-31,Damaged,872796,refunded
RET_0307,ORD_03167,CUST_00737,2025-09-11,Wrong Item Delivered,1356820,refunded
RET_0308,ORD_03182,CUST_00739,2025-10-09,Size Issues,369437,refund_in_process
RET_0309,ORD_03185,CUST_00739,2025-11-12,Damaged,95899,refunded
RET_0310,ORD_03189,CUST_00741,2025-12-29,Bad Quality,710668,refund_in_process
RET_0311,ORD_03190,CUST_00741,2025-12-24,No Longer Required,204574,refunded
RET_0312,ORD_03192,CUST_00742,2024-05-08,Bad Quality,867711,refunded
RET_0313,ORD_03215,CUST_00749,2025-12-11,Size Issues,14192,refunded
RET_0314,ORD_03230,CUST_00752,2025-04-27,Size Issues,349200,refunded
RET_0315,ORD_03232,CUST_00753,2025-11-02,Wrong Item Delivered,5480,refunded
RET_0316,ORD_03233,CUST_00753,2025-11-20,Wrong Item Delivered,27552,refunded
RET_0317,ORD_03237,CUST_00753,2025-11-29,Wrong Item Delivered,33409,refunded
RET_0318,ORD_03280,CUST_00761,2025-10-21,Bad Quality,668615,refund_in_process
RET_0319,ORD_03282,CUST_00763,2024-11-08,No Longer Required,267774,refunded
RET_0320,ORD_03305,CUST_00767,2025-06-09,Wrong Item Delivered,436489,refund_in_process
RET_0321,ORD_03325,CUST_00771,2024-12-21,Damaged,596025,refund_in_process
RET_0322,ORD_03340,CUST_00775,2025-11-21,No Longer Required,418790,refunded
RET_0323,ORD_03342,CUST_00776,2024-11-22,Damaged,473473,refunded
